n,bits,sha256_bigendian
7250000,6826093,cf834aa9d52fe7ec52f37d5f34ae70f96e8c528144fc03dcadaf70d22a4a23b5
7500000,7061338,1d8c18d9412de6e5d45fa157fe995d2deff0ad2c90247c1f55408170a582befb
7750000,7296718,dfd47bf46ae441fd7e422f8a6dc6a5704c694ebe4e353b470184ae4f8579d3e1
8000000,7531866,093cf47f84dedd5f42a82de6df1c027d01f18bea3b064a5f3256929b9eb3ede2
8250000,7767239,f918975cb7ef7c3d77aa23bc406a274ebd708987d9f642e27b271996f37d5f5f
8500000,8002704,faf5378d64b11f4166387293f6fffe5926315051139b4520cac206d0063a0df7
8750000,8238383,8142fac485c8c33c3b252005bae33a1b1d99bd2e078356bed52b230387d109b8
9000000,8473589,7b141e389711a19ec30054f3fa9a1598d9af048cf2c0df0d3b0ecefc2e5432fa
9250000,8709066,f5b7f8717b64d15331edcd84b654643d282d39b89a4a8d51777869d106bb2bbb
9500000,8944345,6732e8893f5e1b84efb13560384c8d32c97b13caf1ef28ede072e4cfff8172ca
9750000,9179634,57b60ea64ea7484b9a437703d601249b3d4419bc8095740380abd39f90b705ec
10000000,9415003,da578b5e27e03837772af3ab66a779069e3d4b20964e58c1ec0626f023214e54
10250000,9650386,afb2eb5f1c09178e78079f58f0b1fd6d1220ae3b022b639603fe376b8c8bf36d
10500000,9885312,e5240b2c9240834b3ebbc48e748939c09a81ff74bf0471e7694ded011ca91795
10750000,10120436,0c323ee3b681fa2b0748fe2b24527031b7ab5d6df0ddeee17fae19a6b8262d31
11000000,10355708,09c3a7cb61960e46f8d05f1aaf07aa5b4825c3cb3e3d7178f21e90b2cd7cb474
11250000,10591259,f2fbbe1fcda7433000091f408d66571a9525d0736be4374a15aa0efdc2a47d46
11500000,10826215,f989b5b56354c1450c3ef06b732ce691dce07df742d9d67c9ab935b0ae9fc131
11750000,11061765,c3ccfaf292bdbd6ebed2c6702d793d85a2cf540275815ad28c84a89affc78ff6
12000000,11297212,b813cd48731ae04a2e0bbfae516f4367a19c0af5869e3c12d47b4dbfdfcbd806
12250000,11532570,00afcb2ac3a4026989a3524f279870cf58251cb181c373daebabb65d1bf9a520
12500000,11768030,b5c302d942273be461c06f4abbb53ea605a41b0a68835db27136ced4e9d3a688
12750000,12003565,7e9e966fad9c95786f9ee3653e09672db8df03c1f611ae193e7d8263e6b343a2
13000000,12238963,24b1bfc13b8bfcb482674c15b2a86b2badd9714ee0c9fc541ae47a3f1779af9e
13250000,12474746,8992d751785a6ca270d714d93686a80bd0cb2a4ac16eca8a06af03341bc7dfae
13500000,12709840,e61ab64df6d4547f6d320b7ac75166b1f3e2ddc1af15651ebd8e69eda540f638
13750000,12945104,6e0b109d44897813d7f338ac388576a8481be4b4e77edc48dfe27cf5d4f48425
14000000,13180637,8488a50f4ebfc0731348f47f5f3def8a9b06cca38d43ff6c9878f3a02e7ad070
14250000,13416068,dcbcd6d6aab59b8a0817aeef521e437d50d0a0b35012080e6e403bdde0860183
14500000,13651159,1547888a04af08a952b68a7f2649060c3cae5ec415a243d570cf3dd22c3c5a1e
14750000,13886352,1935446a90d28492a403495173fd63b26b8305df2e151a3e5ea60647b93c3d22
15000000,14121753,e3d80464931f343f040006f40e19e169cc2f561b822ac85de988504b960343e4
15250000,14356960,88cada93f7d1bd03fa0930a3f07264245987b685059614b8be170db0a01a138c
15500000,14592117,02a02e1cd6123876243e5d5270830b78a29f9eac92a3b3cf64326de892858c8d
15750000,14827342,e33f0a0d6ce91df04db190f0ac4852abb76b71956d5972e784188bb17024f616
16000000,15062819,963f39dee41cf5d7a2703ad2e18bfaa0242a14999ce084d00e9c71e95498ac70
16250000,15298080,3e3512b55f105586442a7ca3285704e3d45653c4405da24ea528aabb2618a6ea
16500000,15533280,005bc21ffed88161929d43b57700d0c5d7be79c4c560b6406f21ce11ed1b85f7
16750000,15768833,176bab43a2256cd64c397c0cd0892c7bbb46b75f02e31703e3de3f89ce0583f4
17000000,16003804,3b7dc3d381141eef9ce2daa8cf5a7564d891ff37a25abe2d8c2995567d4fd380
17250000,16238884,1f80df1d6341eedd416597ff25fd67dd82700a5abae3bd2468d91d29c0a7ab73
17500000,16474482,0ef4b4be8cfef5d868b262e586e487cc8dc61dd60883b68ed01163fdc9c19369
17750000,16709811,516b64b0dc931919a1f157ee8702a8b3fc1835679336f946419cb03270779e7f
18000000,16944925,51315d897b7dec2a79846aebcc2d6dfc437e39b6df1acdaea8f853e9af68b6a1
18250000,17180337,66884086ce2b2d47b247b039c186ef6662799c231e06705971f0e45ceb0f2740
18500000,17415780,3e3deb80fe837704e8242f8c23c6eda3f3e6f48bec5cbc977e030920ca47aabc
18750000,17650808,e5019a187653740c67128c255967157dfcaf6d3c722d4cef190de8de21a7fec9
19000000,17885820,a36e0092e04281870b05ad70406501f29be3ec2c847115f880993e2c7fde7f96
19250000,18120858,579de51080e927ceadf302b1a76b56eaac33bb74270b467747ff43664327621e
19500000,18355851,1ca94327dc0080580ef6d823d20ca059f928930dbd84315a3efd9012e5db54f8
19750000,18591183,d53511dd3dbefb4727c80ec84a86a0357b8bd13c7f70a28c01f47e7628705d43
20000000,18826755,99bfa0b2eac82bea1d51a285389a1dd641790f09fab2bd70a9dda3363aedd064
20250000,19062163,edc3f0780900b59eb5b395a8f3561458a7927bf70ac678cdb0e124bd3101c2ba
20500000,19297471,29188b4fffcc5255043ba432fe5ae54b70a06c27652acb25dd8eab31c1f649e4
20750000,19532892,145ca4e525e5ed8f878ba20f96ffd62eb56e1a1f676bd98b659f55056a5fdc9e
21000000,19768221,17a00e2393cf708a43d89cbf61cfeaee8cff3f90fcdccc42c40d28e65a856ab5
21250000,20003764,9a9516ca1b8e9e9b39b1b12e8b2c767f07a8adf0e73efc3ac2b8cf8abf5fe71c
21500000,20239068,350f1509a5791a715983b04af6e8c9dd78452878421f7a92f2a6529fffb76aed
21750000,20474092,82b715f0adabd08084f7745122116cd3689e7703111e159cc092fd3aba504706
22000000,20709221,6db4fc7002c75612b785f13c7a5a56107664dc4635c06290778f3587e02e02aa
22250000,20944752,cbffa794848714d5d44e89893dfbbdd78f5addcda1820675ab5eb312a343076d
22500000,21179708,5e25d14269e3dd04e07dcd2e537a4cc3c2f337568b353ad7dab94c3f44deed91
22750000,21415317,a8db66641556fc081e61e3556ab4fe82445970db501d5f8febde315b08d828d3
23000000,21650711,5e668c5aa39d8d11cad0c5cd12fa7e32698068d0af7f222a72d62445eb96aa35
23250000,21885808,5e8efd5bdd50aa2475fe5532669c304b236b83d67146ad7f77fbb3eb66c24423
23500000,22121062,730d578fa6ba4c8940178580415284c51cf119b40dcc5d2689d9baf1179f5239
23750000,22356344,37b74e734f0ff641033d74f58578f4791408a559d3ec5860f4ad12f3d6d36fed
24000000,22591538,ba9baba1e38b79eb63cd097afab204de6f1404739956834a2d3f4d28114f7494
24250000,22826767,32a54d5ab237b8077730b53ef02b0a2bd07372f81a485422964aec39a85ec2a4
24500000,23062233,41480169a854339609a9c87886da3e9b775828fe2c122c64d70d8ea3e4803b86
24750000,23297449,63ba1bfb5aa37c2da928a284cce95766308e83a08fc47e867a7a880e1267a228
25000000,23532453,56b0f5d3f226d48b90370eacc50ab1440eec468496e57a73a688e031c4dd3e9d
25250000,23767766,02c22a3ef0ac03694d90e0e18d124727392ad72b9150ce87f655d90fc673ed5a
25500000,24003210,484ef487b8fdddb52907dd3e6c9304691796ba25469cda5d17f9a899cc400705
25750000,24238602,1ebf6eab5c058ef195dcfc5d522a1f46ff791b1498d5f750961dbb13a55b943a
26000000,24473937,dcc1aecbd044b1e818539d8b5088cf1d7403f947da11c4a3ab13500e13893cca
26250000,24709090,3866159b920f0df650ad79bcd5c9f76861af18dcaaf756988fd1c75b33dcf1de
26500000,24944424,98a2e2f25a539ac6bf51ceadfa344aed2ac80f0958c5aa22a7452c884b1dd594
26750000,25179903,c29ff1104d302b64346f2127f604bf6a9264e6411104bc8b9d2dcf5847f59579
27000000,25415352,99ecf72f2286cd753cfe16425eff286e8aaeeb0f90e61a67db68801d052b2478
27250000,25650559,8c1561485ef958f4b96b3b349ca03618a065e1815a4ccf6d53c702233a28ffc6
27500000,25886310,8547ce7ad8f2ebbedee8614855dbed0109b2bb2a25a01495bd5aaa984370c3de
27750000,26121414,e5cbf3a4d8ff60c82bfae17b1a738c531566c6fc36d33e94cefa3b3414d59551
28000000,26356719,606c66fd593f42a0ef47b169a2c630ae0956f1be8f85060ee766b3106f95c9c7
28250000,26592008,d27fe301991df22a3c6f51c0a6a0d47ca7efd3a10490ecb57820c8e3a9d26aad
28500000,26827306,2c140d8b2378d63a0fecf9638db197dc9f4cf269f6e9023c27e63a600a1131a7
28750000,27062944,7116eaccb31848281f6abfcec5dc2f846969050bc38500430f7f58b6ca16a129
29000000,27297824,890391118228908464f4222e622001213e4b4269f366d4fa22730f64f1512a58
29250000,27532700,dd78c02942c99562e546812a2647b77f681b24a0a7477bfba0d941b908bbeabe
29500000,27767801,0538a5c6e1d0f11cb6bcd0ff1c8dcc71515e5c38f1869715f0e72c35599f46f5
29750000,28003209,39b6d7fffaec1f380b7afdf60fbafc540af578e8692262266205f890552440e0
30000000,28238455,a4a4f11294d474cf58b14decfc0bfeb6af33c4153cc4936ddac3a582b10f8d6c
30250000,28473637,0d1bda089cb2e7b03d77c7b7b0380c6a7c51e1810f8593fde8c1dff08b57ce15
30500000,28709008,8e99f93e100a9ea4d0c60e9f651d80a12bb33dee7970fe7cb35c72c454b4d43e
30750000,28944239,a0c97b60582bf032c190147851a61bf78985c4ae134882a621934e79dd003b06
31000000,29179431,02e9a1c257df43a2a15a7ab5f58ed5db3c31871c98feb1aa77d69867880d80ab
31250000,29414905,f605af02c100fccb26857cff20a142cea2a11cfe5cdaa390ebd3c044a74644e2
31500000,29650149,f2cb6529e05f67e9f7b45f176e3f684b3320c9e444985627766b127889284747
31750000,29885417,723a0760ed50c25b3cb6dbc7f0ea97e0d3bb84de27403f3e98c8036f9870907c
32000000,30120535,494f16c7665f7108f63d67708d25da5ffc57c5f5e7fa96466c73494373193bfb
32250000,30355985,e0165af7d76e20fc3dbb5c007f40e31a6c0e33c678d2425d0ed0f6b15b28194e
32500000,30591604,837b300e0a72bedf6f7a66c1ffdda39b45b78e6adc9187f11a6a3e566a227a13
32750000,30826834,49cfbba5aab857ee3a25ac13730ae5305884f29b6038489c32a6612b7ada60d0
33000000,31062454,f5310ebffc8fc12b4ba9da11b7f52a2be134f6134a39795085f03ad8d6847366
33250000,31297877,cb8dad0faf4926bdc441ce440c6ec8aa3ecb9a6d571c7d7ba321b6fb2d3b34ef
33500000,31532975,e4e97b8b699005d8290f367f17d395e3705e1ce8b81d51a8d2df861dcc0f7a16
33750000,31768481,23ad1aa3cb6a642b028eaf58169ccfb80b958604a63eabeb5571e821a16c43c1
34000000,32003828,637b3ae6a68ba6feb9d301fa043f3d4853face58c8bb0ac0468f70ce108357e9
34250000,32239180,6106e91b07afeba9a3b7c842499f659db9126cf55619dd54fb9e56e45b6e9288
34500000,32474722,ebe702f3342ba89e6e07aaf8b34abd6b083b89321d6a5eb4d2e6745f88d81ee6
34750000,32709815,569bb3af192c5db5735df41c2c21d89f4b7d4989673ffb5ebb9c076b04db547e
35000000,32945318,4f642485ed561f94b49d80c06e0bc17ce41b65017bdc358498c49698b5b82914
35250000,33180250,6306c30f9e483d2d3bc234bef993d3570696cdbcdd4752705cc215dc2c3595c7
35500000,33415720,291a19260977def321638cb000d7dc776d759920b903a62ee934b74fc8f5fef1
35750000,33650800,e516c0ea8ac4c64a67cbf652d512fa3e5474da7d2b94371310b84bcd5278cde5
36000000,33885725,2515d4f53ccf227ee0c85e1ba13dd44e33d95775647e2ce9299f4fb2821ea553
36250000,34121199,6adde76bd45f44af129235138fe538e611a4d4ad25b401154576624b11edbf86
36500000,34356619,800db840a09606d5287882a6f18089263f366a963534bdf9786d17a7489ac2a5
36750000,34591654,5819709033ac9be9344b0042a45bc2e405fa368874d0cab2d19269e078d9f6fc
37000000,34827373,01320a6cd3dd4a347e4657faf05ed660719d71bc149f6677cdc21853551e5f9d
37250000,35062442,fe3e5a2feec4d2891100f106408aa90f6cfae0079f21bdaf2dc35a8143b905e4
37500000,35297797,ea87f26d27c0924d8e638585dee888e30a294841f560821c89b734f313549a77
37750000,35533247,ddcb2eabe3c5accd61b00cf37a351339dd45aa439b7f5154a74520c9b8b4b513
38000000,35768398,e38b63bbe3c986cf3862013a678baf98d7d8ace1001f79451a4aabf810c3639c
38250000,36003836,fc61492b7a4293445ede959918347ac48bd9bb656b9600298aeadb1e70d81eac
38500000,36239487,56eb40c47eaf9f1b59275b06722f6c188e89fa40a5431702526db258c4edd217
38750000,36474679,5705188febcdc9cad8fbc6cabc63f04aed42d959f92558a394d9fe2d31abe21f
39000000,36709778,7817b5ded313d0fda060956799717c227f81f662bf124cccd5f9cc08b3a65162
39250000,36944962,a58cb76351d700bd2de4046fb5778ca2bb2c6226ac6816f551da1ed3373a9f37
39500000,37180199,20d0b443e4fdd205f5a7536c0911d01937242c53904015f9f238dac5454b4004
39750000,37415248,b695cf0daa0fb198527d01a6a80faf615aefaee2c630ea8ba4b6f824f5619eff
40000000,37650009,1706b0b1f1679967d1b9072389d779c81fb648cbcb66d5907916392dd0faf4b7
40250000,37885126,abda418903c9a5c66888dc3130d43fc46a5be0b910ef0b00ebcd3b8d08018b08
40500000,38120550,4116db2f00b7fbd9509f8e824e29165f59d3e8e60ee2137064d09e7c64275451
40750000,38355845,181768c18df73d3446dcab26cdeaf6d9f954a71d71fde78687508d4ccef795e7
41000000,38591304,f48675ee062264fa5a2d324096b04f8a78370b3f2f610823d72ff61ed0cc62d9
41250000,38826570,4dc3f320a0b83bce61eab1ba1721f432792393133a6ed805fdaa2fe11cc9043a
41500000,39061830,d6a85ea3b9319a8e319443d0be819c02f54a5ecd706c438bf031d2060c172e79
41750000,39297279,4bee2428746ae5d0d56958ed968b8cfc24240da3796e7b678609c510d68de0aa
42000000,39532523,53bfacb55f21917bdf1c57b4626a3565fc7500ccbfb6c4c7583890c8fa40b7d0
42250000,39767973,6c5a239fffade7fee22f9b2b0cf2084c35b29cefe426ec0cddd716431000ea7b
42500000,40003317,3c81cca80e2b8094cf5dc5e567e327c0a15d42ed71cccdf08925b3433f8a176d
42750000,40238724,5890faf6c8bdf9dd9b3b87f3e15cf34c7c161041efad4e41835337bae5e35210
43000000,40474141,15326318ee428d6bd914b91b68d7b7146eb2dda52da4180873bb691050dfbb03
43250000,40709238,ff2747128553003cf0677fa8cb666f6701de1ee89f925b80a9e4545ac8c66195
43500000,40944638,6d01539728312ef51dd240954e628e9b5a26aed366a09cea2a07d8ba3c03a4cd
43750000,41180140,56d83d7218b319ede6ea592269a5c1ff777c374b6762e16fd9c56059382457ed
44000000,41415342,bdbf15f6765a1f4cb8c8c3b2a182fd42227afc8017f153779819280e698b9962
44250000,41650455,a5d4032b96f6343d132ed9a50acc93a4940c031914fb53421adb0e3f2d6f5d6c
44500000,41885738,4cfd639d8f1b55fa1f78ed2e65955e22f08866d404b85c12bbec810ba27dae68
44750000,42120951,3229a4f6a3ad3f52b31151f9bd35a314c805448237cd25f372c20bb6476d1e96
45000000,42356602,d3ba7523ec49a60f4b352d7a0254a36f1961d9d17ed05e31f10bd3658c57f2b6
45250000,42591804,0b6324aed174f79653df5fea28ef3537ee1b44ffda5a673d2e3b1d085a6dacfd
45500000,42827133,0229e55daa711132b789e77f4a6b43ae35f79c831b5566be37c9d5671036a77d
45750000,43062337,d7ca41c6b62f6048baac112508d6cb964ccf85f58b901d69d0a24fa2724672ac
46000000,43297815,93656c85610abf41b8c2afd069e70f21938e5d931eeb7e4c77dc55435e387923
46250000,43533216,5d94c05857e253729d1aad55b5db54a41bcf9d6e3b2539f5c0555c95f9d7e39f
46500000,43768421,36e448fd58bca2ea62faf2ea1b278871b997ad24d5a1388ab3353d11628ac259
46750000,44003829,0a1c1e643fe8b3a5b6279ee9c0f55dd5d9c0ccd7f18f3831d573ced44bc3be20
47000000,44239119,76c4718de3ca28300dbd5a6b620daefc12ba61c415920c7b65d6f3a17ec50441
47250000,44474420,6f71cda69431b91b9887355de39d6a8c01994f9ed5b6e63c1d5146ee7c7e39cb
47500000,44709721,a9b4d0f37fe49c5fe4fb1bdd296e69acb12d5d201ff5cf216bf5c45c6abd6c6d
47750000,44945409,1a7c4ee06d5d0e2a3c25bd60f7bf31c465b5f316a175fe595bef62ac02867569
48000000,45180947,b484f8608d557383c6e4526240fd139a097f0c46149f801456aabf60c6a29f91
48250000,45416350,d6ce0e36518ff1b1315af5faa6f5018926bca1b96b2fc786a190cdcd7fbd269b
48500000,45651695,6a6480527428695e858a7b5e0c52601fa61b168ae597e6a8f60919250d3519d9
48750000,45887030,f7cafcb3891017ce8a744060748d16c9df876e7867037f7a9b1b13eab392bdcd
49000000,46122401,606fa742f7130abd03434fa10c44dcbd81b93c74bac62ce032da2a2b20fb0d81
49250000,46357239,800c97c455eb9d5fc5a929cd06141cfa67e7540fd65cc8dd49999fe1c1378eef
49500000,46592424,2097be02880c22d8631f3db19e8357c51a4883e384a38f962e7000ae169d2a76
49750000,46827979,37ff3037b4a70a6a2b8eeb24e5b3a67bb24750b92f8c51b63ce4225e89b06556
50000000,47063400,1638a67e69bb27d05115243cb35a896466c42a8935f3cf9382bf25dd780a27a1
50250000,47298740,9f38b45513f6785bdeab75be0be377295698a7bbb79f7afad4f85fd3e6c89c3a
50500000,47534337,c2c3e533d721a16a6d028daa05a204286c5754b00d180b8a8f34e17d477a3298
50750000,47769201,8bf884c7042fd4edef2b76a77ef2182d509c0010a069868a6e3d52b7aee923b8
51000000,48004346,a792a3e14f94f4b01dab83840e386fbc075a600333078556a7cda4db7620e6a3
51250000,48239603,638de139ca4f54a526f25684684db64de43b94ba3b4556256ee5fbb32d016b82
51500000,48475136,4831d241d565e061cb85f854d7be6f7a45c2ebfd6cf371a724578b4f94ba4793
51750000,48710891,9cce6309d711d95cf261d39d898d6ebe0b3982a89e1197493efe8fe1d8d5003a
52000000,48945966,35bbf16daad7dc23c9977ec332bc1fe21b24c0350db99a32fa7aa4394c19bfc8
52250000,49181579,e186a0317d0590d5172a8ac065703918692ad4f722d3493012bae23dbe7aca01
52500000,49416729,08a9d1abdd8ee82918f2251a3c4d17a40689d7755afa239c96e5ee8ee09a3414
52750000,49652276,b0c3b1b2e4c746373e31996a1db06a5756d7ff5f5ef3ca7922681dbe3be2ae12
53000000,49887974,4350706f491c7d5a85fb4b38735834b4921153b6161b9eee0a4f63bb826a4153
53250000,50123386,a09d1e09f32d6c9d977238e0fb60c2698e090027fb10fa2257f4a54eae9e9c15
53500000,50358925,1259245a7a4834ed9ca1dbc7aea9a3daf088fc34d1367ce85ef8f076d3013455
53750000,50594578,4a3569f35f7999de9bd3c6fb4c08658472eae869d282bcaaffce342d1e665678
54000000,50829778,7c2b34b6dae16093e17d6d754ff7f8f4d5b58455b441e1383ffb864324079f0e
54250000,51064869,7d891ae71c14225dc75bab4b53de0105f7afc2722ac490a6792012e981eb69a3
54500000,51300307,27771ade2e888f44a4e70d208b83053397d535ceb2b96e0f61f796e2c36032b1
54750000,51535731,36147b6166f535800906abb9d2e03cfc17b34c8aadd06a932ee98e6fd32df583
55000000,51771391,3f301dbb2a945f15b80dbd103d9a1c4b0107291f7a8d1558471b6a336d633a43
55250000,52006304,296001b0248b8b089e90ce84734c8e37267a139439b3860ed043a8d7f0e18677
55500000,52241811,a84400dd98505bc91262eb11a7eb17aa2a8c2326a58a1cba24c4797455a12a2c
55750000,52477020,8822f22f6aae284da2a8ac3c695e269802b43e810a0964ab034dbd5cad56bcb7
56000000,52712271,46fec13b201b7d73b4b1b3722500f56d9ad82b9f9c8ee2ec8f2e55be4f5487d1
56250000,52947634,7ec70612e30f27ca59a87b669cb1a907349668268fbc8473e9423690408ce352
56500000,53182897,1c071133b07cf58cc662f6e2e93658a6ff0c0e8c6ed86e07877cf5449424fbf7
56750000,53418006,2cfda000b04c86b4b5e2eda5708c10dee01bb556268c7efe7bba9f57b7bb8e54
57000000,53653441,383decd0527c82bb85ca5aa697eb21ba7d47fff5175becceadd2182727bdf7b1
57250000,53888670,d1ce4362dd3ededf062e35eccfa2998298e279fc4d71694a9b6bf0dcfc422808
57500000,54123896,5adad1849dbcd3fe67a35007d429035e20de0fb2251c206787704eb558e92b6c
57750000,54359066,4d92c8644f19c93258b9a6d73526d7b0a8d6f7bc5440c5e92d20927bf0734a8d
58000000,54594359,e77f0a31d26c41e805e853041c15c814855a7180d64f6177548a53283b6a88f7
58250000,54829661,810feb807409bab190ffcb50d3cfe1767e158731e4ee521d599435dd0b6554e0
58500000,55065082,dff5cbb04cabd7349054072238572026ba51060dc83f616ca7e8b4d7d4361458
58750000,55300818,9aecddd1ff11736488224d7704ee2cce16946cc2e6fe185a327a8a1a4d02a9ff
59000000,55535995,af54a651dcc611158dcb02d3d0ec514c2e1ab7086498461b4b8cc37f1cee73db
59250000,55771174,fe11b3cbb86161d9b6a513732bd87618ce081595bbfed942dff7074fd7966713
59500000,56006594,47bb13324503e3d0759b2e4142b9a4285952cbb174e9115d9f8e3e2e94343a79
59750000,56241763,5d0d6f149682c03c03f61922fedfea569823e4f744fa09d5a1c2791cead7840b
60000000,56477442,a6550f54d8f1c028bc4f492567447c2f9b64dab50730bc39dbd9720878a9cbe6
60250000,56712938,54bccbd04183eb87590044a83131e9b430975fb033c14dbb2eca81f2fbb89f18
60500000,56948335,e617c0f9d765e47130e25fd4e052c43caa2717dc45a82c0f4253fc753c3afbfb
60750000,57183743,abca30aa7b1bf58b5b53451cffbe738163c38c5dd7d13c2abb3181480929e54a
61000000,57419386,14f855ad332092dde38319a60b788a6db84881045155460b5169e91db3c14f36
61250000,57654550,6bce031892b488a1e8f3fca2cf64c061697150103730d4a82f95efacdb04267b
61500000,57890023,91230748238d57053670b09b9ab5f686c78541f83e2c16f7d8469467c1505bff
61750000,58125346,9aaa31475ca7b697ba34ffc8b11ab872d3529e5217f581cfa0b0752a4f512219
62000000,58360698,6f154cad71f253687a8311631b693a80130ca00eee6b1f5e5227ad48b17a6ed4
62250000,58595854,c836f0e76386d268c4bf53e36125f0ea65de40f157d135df1ea9046348290886
62500000,58830883,a445b6fa9bfeaffd2ef9fe8f9bbcfc21d6e48456c17dd313714f31b4d1318851
62750000,59066460,940aed01a1b54064ac08b248ffd16fe2df1c8a8a9a248fe9a032027f988231e0
63000000,59301876,ce9fc39f9b08357bf744b400a9d1d5786e9ebf01b0532098d7b79d59182e6292
63250000,59537151,22597b6bb3184ecd8389f6ffe32e4e5224fd93631cc134bc7f60d15e04e81ba9
63500000,59772532,4ea6b3e4e81cd48f981902e839cc5d40162f6a6feb910df45aaef805ddd35919
63750000,60007997,ccd1b5808d57790448df6fb31b294386bac43258114729dc291193102258031f
64000000,60243414,65433e8505d957555e5562010829fb8b0f05f096e80212423f177fda7c384a33
64250000,60478319,757a8d9b6eb5dc49a5fad4a05ec761d98c958f92a78ca70fce7c824e8ca98197
64500000,60713625,7231c2a0c5d00711bb43f4085c577ff881e6e9f930fc47dc241aebbaab3f5942
64750000,60948995,52df4dc3f6d904626d73601d664c330904c2df1e699bb6e42be8fdaf8bb581a5
65000000,61184573,f767a69b0810a5296c667640b1f1e329eb5ede51861fd77e0cdba2e4734bc12c
65250000,61420123,c9e006453b19c70ded7eda5c5934c60a97b6be2f43b20ee98418872eb46036ab
65500000,61655523,f862939fd74473817f5fc2e58eac8601d8e2561da42d43ceabefba64514c40a9
65750000,61890290,8f03529134a81ee88b7989b0a2bf7181ae1a9e363f5585935f08b6f463559a8f
66000000,62125490,c8186a1a68ad496aaa96aef06622f990a9a0bb60b013b5079737398fe8d843ff
66250000,62360840,d92f531c7a5766b2ef8fe96e11a54e22bb6c2eb30359054e42acf97e67e5181c
66500000,62595555,8e2e4af496d1396b05ddc7fc9215582070563ceb6550b6465f2d7cd0d7547023
66750000,62830895,b6e3ce640a443f5f7814dd4dfa7d3eb2fcffd4d7b31a343f976cc0ff3afad724
67000000,63065785,ad5e3301d58f07e58d8330e94f59ef25713b79f970a4ad88dc9d11942cc240ae
67250000,63300721,5f338f060073566a421b66708de7e6095e6aad0e027aef96397254e5b22e09bd
67500000,63536059,dc2be78966b8bc0ca93ab95db7050cc8d655e04f9d8a5b9dcd85a7f806be743e
67750000,63771402,4467e6be28572bbb3da5feac78ad98b280a9686424ce44912cd1bd156c737ac4
68000000,64006529,eb8e68b0a930ad3917a8a5e4e8972b6f5f884bc3b7dd9e72ebddff3ea48cef79
68250000,64241922,853d50cdc141490b2d933f5410094e68fc5a19c5a5b303c45603489b47d8a3fd
68500000,64476955,d8ec98a0176d6957552ad4d063f97662dd2a55c9c26040a0629ef01c7c4f4dae
68750000,64712292,fb2c6db4307b56e3f1d3b2c76afae38c37181adf694636aeeecc76fb428310d0
